sein|his, its|Der Junge ärgert seine Schwester.|The boy annoys his sister.
aber|but|Die Sonne scheint, aber es ist trotzdem kalt.|The sun is shining, but it’s still cold.
aber|Das ist aber nicht nett von Tim.|That’s not nice of Tim.|4023.80553653484 | 0.949397440548359
man|one, you, they|Hier erzählt man sich Geschichten.|They tell stories here.
noch|still, yet|Habt ihr sonst noch Fragen?|Do you still have any questions?
nach|after, toward|Nach dem Mittagessen gehen wir spazieren.|After lunch we go for a walk.
oder|or|Kommst du mit dem Fahrrad oder fährst du mit dem Bus?|Are you coming by bike or are you going by bus?
all|all|Wir freuen uns alle auf den Urlaub.|We are all looking forward to our vacation.
aus|out, out of, from|Thomas schaut aus dem Fenster.|Thomas looks out the window.
was|what|Was sagst du?|What do you say?
nur|only|Das kostet nur zwei Euro.|It only costs two euros.
sagen|to say, tell|Der Kollege sagt ihr, wo sie die Schlüssel findet.|The colleague tells her where to find the keys.
dann|then|Erst gehen wir einkaufen und dann in ein Restaurant.|First we go shopping, then we go to a restaurant.
wenn|if, when|Ich erzähle es dir, wenn wir uns sehen.|I’ll tell you when we see each other.
müssen|to have to, must|Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.|I have to be home by nine o’clock or my mother will be angry.
um|around, at|Die Kinder laufen um den Baum.|The children run around the tree.
um|in order to|Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.|I also work on weekends in order to pay for my vacation.
ja|yes, of course|Ja, ich verstehe das.|Yes, I understand that.
kein|no|Sie haben keine Chance, das Spiel zu gewinnen.|They have no chance of winning the game.
über|above, over, about|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.
da|there|Da hinten steht mein Auto.|There’s my car over there.
da|because|Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.|Because I have a new job, I’m moving to another city.
geben|to give|Timo gibt dem Verkäufer die Bücher.|Timo gives the books to the seller.
vor|in front of, before, ago|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.
mein|my, mine|Anna ist meine kleine Schwester.|Anna is my little sister.
mehr|more|Ich habe Hunger und möchte mehr Brot.|I’m hungry and want more bread.
das Jahr|year|Ein Jahr hat 52 Wochen.|A year has 52 weeks.
du|you|Wer bist du?|Who are you?
durch|through|Ralf läuft durch die Stadt.|Ralf walks through the city.
viel|much, a lot, many|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.
wollen|to want to|Die Kinder wollen spielen.|The children want to play.
machen|to do, make|Die Schüler machen ihre Aufgaben.|The students do their tasks.
andere|other|Es gibt noch einen anderen Weg zum Bahnhof.|There’s another way to the station.
sollen|should, ought to|Ihr sollt in der Bibliothek leise sein.|You should be quiet in the library.
schon|already|Günter arbeitet schon seit 30 Jahren hier.|Günter has been working here for 30 years now.
schon|Die Karten für das Theater sind schon sehr teuer.|The tickets for the theater are really expensive.|1839.70600976544 | 0.933228590427611
kommen|to come|Wir kommen morgen Abend zu dir.|We’ll come to your place tomorrow night.
mir|me|Gibst du mir dein Fahrrad?|Are you giving me your bike?
immer|always|Zum Frühstück esse ich immer eine Scheibe Brot.|I always have a slice of bread for breakfast.
mich|me|Timo setzt sich neben mich an den Tisch.|Timo sits down next to me at the table.
mich|Nach der Schule lege ich mich immer kurz ins Bett.|After school I always lie down in bed for a while.|1683.87139317034 | 0.890610230542574
gehen|to go|Wir gehen heute ins Theater.|We’re going to the theater today.
groß|big, large, great|Florian hat eine große Wohnung.|Florian has a big apartment.
hier|here|Hier ist mein Zimmer.|Here is my room.
ganz|whole, all the|Das ganze Zimmer ist leer.|The whole room is empty.
ganz|quite|Er löst die Aufgabe ganz gut.|He’s solving the task quite well.
zwei|two|Anna hat zwei Schwestern, Tina und Sarah.|Anna has two sisters, Tina and Sarah.
also|so|Das ist also der neue Schüler.|So, this is the new student.
jetzt|now|Wir müssen jetzt ins Bett.|We have to go to bed now.
doch|however, but|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.
doch|Er kommt doch nicht zum Spiel.|He’s not coming to the game after all.|1539.17486112632 | 0.925322604620131
wieder|again|Lea kommt wieder zu spät.|Lea’s late again.
uns|us, we|Katharina besucht Max und mich, wir freuen uns darauf.|Katharina is visiting Max and me, we are looking forward to it.
gut|good|Die Blumen riechen gut.|The flowers smell good.
bis|until, till|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.
bis|until|Ich warte hier, bis er kommt.|I’ll wait here until he comes.
wissen|to know|Max weiß viel und ist gut in der Schule.|Max knows a lot and is good at school.
sehen|to see|Seit er die neue Brille hat, kann er besser sehen.|Since he got the new glasses, he can see better.
einer|(some)one|Dieses Problem ist nur eines von vielen.|This problem is only one of many.
sehr|very|Sie ist eine sehr gute Ärztin.|She’s a very good doctor.
Mal|time, mark|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.
Mal|times|Ein mal eins ist eins.|One times one equals one.
Mal|Meine Freundin Veronika hat mal im Ausland gearbeitet.|My friend Veronika once worked abroad.|1288.1736902475 | 0.864058607333295
lassen|to let, allow, have done|Lass mich gehen!|Let me go!
neu|new|Ich habe eine neue Tasche, weil die alte kaputt ist.|I got a new bag because the old one’s broken.
stehen|to stand|Die Fahrräder stehen im Keller.|The bicycles stand in the cellar.
unser|our|Unser Verein hat das Spiel verloren.|Our club lost the game.
jede|every|Wir fahren jeden Sommer in den Urlaub.|We go on vacation every summer.
weil|because|Frederiks Mutter steht früh auf, weil sie um sechs Uhr arbeiten muss.|Frederik’s mother gets up early because she has to work at six o’clock.
unter|under|Unter der Brücke fließt ein Fluss.|Under the bridge a river flows.
der Mensch|human being|Es gibt über sieben Milliarden Menschen auf der Welt.|There are over seven billion human beings in the world.
ihm|him|Tom zieht zu Anna und sie gibt ihm die Schlüssel zu ihrer Wohnung.|Tom moves in with Anna and she gives him the keys to her apartment.
ihn|him|Ich treffe ihn immer am Donnerstag in der Universität.|I always meet him on Thursday at the university.
denn|because|Heute sind alle Geschäfte geschlossen, denn es ist Sonntag.|Today all shops are closed because it is Sunday.
denn|anyway|Was sagt denn deine Mutter dazu?|What does your mother say about that anyway?
das Beispiel|example|Das Beispiel passt nicht gut zu diesem Argument.|The example does not fit this argument well.
erste|first|Jonah feiert heute seinen ersten Geburtstag.|Jonah celebrates his first birthday today.
die Zeit|time|Jannik braucht viel Zeit für seine Aufgabe.|Jannik needs a lot of time for his task.
lang|long|Mit ihren langen Beinen rennt sie schneller als Max.|With her long legs she runs faster than Max.
lang|for a long time|Jeden Tag warten sie lange auf den Bus.|Every day they wait a long time for the bus.
leben|to live|Frauen leben länger als Männer.|Women live longer than men.
die Frau|woman, wife, Mrs.|Frauen sollten den gleichen Lohn bekommen wie Männer.|Women should be paid the same as men.
etwas|something, some, a little|Jeder macht die Welt etwas besser.|Everybody makes the world a little better.
selbst|-self|Es ist wichtig, sich selbst zu lieben.|It is important to love yourself.
selbst|even|Selbst wenn es regnet, spielen sie im Garten.|Even when it rains, they play in the garden.
wenig|few|Es gibt nur wenige Menschen, denen er vertraut.|There are just a few people he trusts.
wenig|little, few|Diese Pflanze braucht nur sehr wenig Wasser.|This plant only needs very little water.
finden|to find|Ich kann meine Tasche nicht finden.|I can’t find my bag.
gegen|against|Ich verliere immer gegen dich.|I always lose against you.
zwischen|between|Mein Fahrrad steht zwischen den Bäumen.|My bicycle is standing between the trees.
drei|three|Im Deutschen gibt es drei Artikel, der, die und das.|In German there are three articles, “der”, “die”, and “das”.
liegen|to lie|Der Hund liegt unter dem Stuhl.|The dog is lying under the chair.
wo|where|Wo bist du geboren?|Where were you born?
nichts|nothing|Wenn es dunkel ist, kann man nichts sehen.|When it’s dark, you can see nothing.
klein|small, little|Martin hat eine kleine Schwester.|Martin has a little sister.
der Tag|day|Eine Woche hat sieben Tage.|A week has seven days.
deutsch|German|Nina interessiert sich für deutsche Geschichte.|Nina is interested in German history.
deutsch|German|Deutsch ist eine schwierige Sprache.|German is a difficult language.
bleiben|to stay, remain|Anna möchte für ein Jahr im Ausland bleiben.|Anna wants to stay abroad for a year.
nun|now|Nun habt ihr euch euren Urlaub verdient.|Now you’ve earned your vacation.
sondern|but (on the contrary)|Nicht er mag Fußball, sondern seine Schwester.|He doesn’t like soccer, but his sister does.
heute|today|Heute ist mein Geburtstag.|Today is my birthday.
beide|both|Er hat zwei Kinder und liebt sie beide.|He has two children and loves them both.
hoch|high, tall|Diese Berge sind sehr hoch.|These mountains are very high.
damit|with it|Ich nehme den Wagen und fahre damit zur Arbeit.|I take the car and drive to work with it.
ohne|without|Ich verlasse meine Wohnung nie ohne Schlüssel.|I never leave my apartment without a key.
ohne|without|Du sprichst, ohne nachzudenken.|You talk without thinking.
der Mann|man|Sie wohnt mit einem Mann zusammen.|She lives with a man.
welch|which|Welchen Film magst du lieber?|Which movie do you like better?
tun|to do|Heute habe ich nichts zu tun.|Today I have nothing to do.
einmal|once|Ich möchte einmal im Leben nach Paris fahren.|I want to go to Paris once in my life.
ihnen|them|Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.|He gives them the key so that Tina and Erik can sleep in his apartment.
ihnen|you|Kann ich Ihnen etwas zu trinken anbieten?|Can I offer you something to drink?
heißen|to be called|Sein Freund heißt Markus.|His friend is called Markus.
ob|whether, if|Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.|I can’t decide if I’ll have beer or wine.
denken|to think|Ich denke gerade an meinen letzten Urlaub.|I’m thinking about my last vacation.
dabei|with it, there|Lisa ist auch dabei.|Lisa will be there too.
seit|since, for|Ihre Schwester ist seit drei Monaten im Ausland.|Her sister has been abroad for three months.
einfach|simple, easy|Die Prüfung war sehr einfach.|The exam was very simple.
einfach|simply|Du musst einfach nur geradeaus gehen.|You must simply walk straight ahead.
erst|first, only, not until|Erst solltest du deine Eltern fragen.|First you should ask your parents.
erst|Jetzt geht es erst richtig los!|It’s just beginning!|680.260978134757 | 0.958832462337036
das Kind|child|Das Kind geht gern zur Schule.|The child likes going to school.
das Land|land, country, state|Welches Land würdest du gern besuchen?|Which country would you like to visit?
stellen|to place, set, put|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.
zeigen|to show|Können Sie mir den Weg zeigen?|Could you show me the way?
natürlich|natural|Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.|I observe wild animals in their natural environment.
natürlich|naturally, of course|Natürlich vermisse ich dich.|Of course I miss you.
alt|old|Wie alt bist du?|How old are you?
dort|there|Die Bibliothek ist dort drüben.|The library is over there.
Deutschland|Germany|Meine Familie wohnt in einer kleinen Stadt im Westen von Deutschland.|My family lives in a small town in the west of Germany.
gleich|same, right away, just|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.
nehmen|to take|Ich nehme ein Wasser.|I’ll take a water.
dürfen|to be allowed to may|Darf ich heute Abend mit Lisa ins Kino?|May I go to the movies with Lisa tonight?
wichtig|important|Er hat eine wichtige Frage.|He has an important question.
vielleicht|perhaps, maybe|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.
vielleicht|Du kannst vielleicht laut sein!|You can be quite loud!|601.555132877842 | 0.913070531047788
hören|to hear|Kannst du mich hören?|Can you hear me?
das Haus|house|Meine Eltern wohnen in einem kleinen Haus.|My parents live in a small house.
nein|no|Nein, ich habe das nicht verstanden.|No, I didn’t understand that.
wer|who, whoever|Wer ist da?|Who is there?
dazu|in addition, furthermore, to that, for that|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.
eigentlich|actual, real|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.
eigentlich|actually|Eigentlich mag ich kein Eis, aber ich esse es trotzdem.|Actually, I don’t like ice cream, but I eat it anyway.
eigentlich|Was studiert deine Schwester eigentlich genau?|What exactly is your sister studying?|569.816520263281 | 0.876608401027724
letzte|last|Das ist das letzte Auto, das ich für meinen Sohn kaufe, das nächste bezahlt er selbst.|This is the last car I’m buying for my son; the next one he’ll be paying for himself.
fragen|to ask|Die Touristen fragen nach dem Weg.|The tourists ask for directions.
der Herr|Mr.|Unser neuer Lehrer heißt Herr Schmidt.|Our new teacher is called Mr. Schmidt.
halten|to stop, hold|Er hält ein Buch in seinen Händen.|He’s holding a book in his hands.
glauben|to believe|Sie glaubt ihm nicht.|She doesn’t believe him.
die Frage|question|Die Studierenden stellen zu dem neu eingeführten Thema viele Fragen.|The students ask many questions about the newly introduced topic.
gelten|to be valid|Die Karte für den Zug gilt nur heute.|The ticket for the train is only valid today.
gerade|straight|Ich überhole nur auf einer geraden Strecke.|I only pass other cars on a straight stretch.
gerade|just, just now, right now|Das Geschäft schließt gerade.|The store is closing right now.
folgen|to follow|Der Hund folgt meinem Vater.|The dog follows my father.
sprechen|to speak|Der Student möchte mit dem Professor sprechen.|The student would like to speak to the professor.
führen|to lead|Jakob führt uns durch das Museum.|Jakob leads us through the museum.
bringen|to bring, take|Der Mann bringt mir einen Kaffee an meinen Tisch.|The man brings me a coffee at my table.
die Welt|world|Ich möchte gerne um die Welt reisen.|I would like to travel around the world.
gar|at all|Das ist gar kein Problem.|That’s no problem at all.
eigen|own|Jeder Mensch hat ihren eigenen Charakter.|Everyone has their own character.
genau|exact|Die genaue Zeit ist 10:43 Uhr.|The exact time is 10:43.
mögen|to like|Mein Bruder mag meinen Freund nicht.|My brother doesn’t like my boyfriend.
spät|late|Es ist schon spät.|It’s getting late.
spät|later|Ich komme später zu dir.|I’ll be coming over later.
bereits|already|Du musst nicht noch einkaufen gehen, ich habe es bereits erledigt.|You don’t have to go shopping; I have already done it.
möglich|possible|Ich besuche meine Eltern so oft wie möglich.|I visit my parents as often as possible.
möglich|as . . . as possible, if possible|Die Aufgabe soll möglichst schnell erledigt werden.|The task should be completed as quickly as possible.
das Prozent|percent|Für Studenten kostet das Gericht 20 Prozent weniger.|For students, the meal costs 20 percent less.
während|during, while|Während man isst, soll man nicht reden.|You shouldn’t talk while you’re eating.
während|while, whereas|Luisa arbeitet, während er das Essen vorbereitet.|Luisa is working while he is preparing the food.
einige|a few, some|Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.|For some problems we already have solutions, for others not yet.
dafür|for it, for that|Dafür musst du dich nicht entschuldigen.|You don’t have to apologize for that.
kurz|short|Der Film dauert nur eine Stunde, er ist sehr kurz.|The film lasts only one hour; it is very short.
richtig|correct, right|Alle wissen die richtige Antwort.|Everybody knows the correct answer.
stark|strong|Herr Müller nimmt starke Schmerztabletten.|Mr. Müller takes strong pain killers.
brauchen|to need|Brauchst du Hilfe?|Do you need any help?
die Hand|hand|Ich schreibe mit meiner rechten Hand.|I write with my right hand.
etwa|about, approximately|Die Führung dauert etwa eine Stunde.|The tour lasts about one hour.
etwa|after all|Hat er etwa noch nicht angerufen?|He hasn’t called yet after all?
weitere|additional, further|Weitere Informationen finden Sie im Internet.|Further information can be found on the internet.
das Ende|end|Das Ende des Romans ist wirklich spannend.|The end of the novel is really exciting.
schreiben|to write|Er schreibt einen Brief an seine Freundin.|He’s writing a letter to his girlfriend.
solch|such|Unter solchen Bedingungen kann ich nicht arbeiten.|I can’t work in such conditions.
nie|never|Das hast du mir nie erzählt.|You never told me that.
der Fall|fall, case|Der Richter erklärt den Fall für geschlossen.|The judge will close the case.
schön|beautiful, pleasant, good|Von hier aus hat man einen schönen Blick auf die Stadt.|From here you have a beautiful view of the city.
wirklich|real, actual|Sein Besuch ist eine wirkliche Überraschung.|His visit is a real surprise.
wirklich|really, actually|Ich mag dich wirklich gern.|I really like you.
denen|whom, that|Das sind Klara und Lisa, mit denen ich zusammen in einer Wohnung lebe.|This is Klara and Lisa, with whom I live in an apartment.
nennen|to name, call|Mein Freund heißt Alexander, aber alle nennen ihn Alex.|My friend’s name ist Alexander, but everybody calls him Alex.
warum|why|Warum hast du mich angerufen?|Why did you call me?
ziehen|to pull, move|Man muss an der Tür ziehen, um sie zu öffnen.|You have to pull on the door to open it.
das Wort|word|Ich verstehe kein Wort.|I can’t understand a word.
darauf|on it, to it|Das Geschenk ist offensichtlich für Marlene, ihr Name steht darauf.|This gift’s clearly for Marlene; it has her name on it.
eben|just, now|Ich versuche, ihn eben auf dem Handy zu erreichen.|I am just trying to reach him on his mobile phone.
eben|Das kann man eben nicht ändern.|There’s nothing you can do about it.|434.23744681195 | 0.858873180692961
die Seite|side, page|Das Buch hat 300 Seiten.|The book has 300 pages.
das Teil|part|Die Ausstellung besteht aus drei Teilen.|The exhibition consists of three parts.
jung|young|Sie war noch jung, als sie Kinder bekam.|She was still young when she had children.
vier|four|Oma hat vier Hunde.|Grandma has four dogs.
besser|better|Kevin kann besser schwimmen als sein Bruder.|Kevin swims better than his brother.
fast|almost|Ich hätte fast den Bus verpasst.|I almost missed the bus.
schnell|fast|Mario kann sehr schnell rennen.|Mario can run very fast.
die Stadt|city, town|London, Paris und Berlin sind große Städte.|London, Paris, and Berlin are big cities.
spielen|to play|Die Kinder spielen im Garten.|The children are playing in the garden.
zwar|admittedly, to be precise|Wir kommen am Nachmittag an, und zwar um 14:37 Uhr.|We’ll arrive in the afternoon, at 2:37 pm to be precise.
der Euro|euro (unit of currency)|In fast allen Ländern der EU kann man mit Euro bezahlen.|In almost all EU countries you can pay in euros.
die Arbeit|work|Es liegt noch viel Arbeit vor uns.|We still have a lot of work ahead of us.
Million|million|Die Stadt Tokio hat ca. 35 Millionen Einwohner.|The city of Tokyo has about 35 million inhabitants.
das Problem|problem|Sie müssen das Problem so schnell wie möglich lösen.|You have to solve the problem as fast as possible.
verstehen|to understand|Rede bitte etwas lauter, ich kann dich nicht verstehen.|Please speak a little louder, I can’t understand you.
bekommen|to get, receive|Natascha bekommt ein Fahrrad zu ihrem Geburtstag.|Natascha is getting a bike for her birthday.
meinen|to think, have an opinion|Was meinen Sie dazu?|What do you think?
davon|from it, about it, thereof|Davon wissen wir nichts.|We don’t know anything about that.
fahren|to drive, ride, go|Christine fährt mit dem Zug nach Amsterdam.|Christine’s taking the train to Amsterdam.
kennen|to know|Wir kennen uns schon lange.|We’ve known each other for a long time.
dich|you, yourself|Ich hole dich gleich ab.|I’ll pick you up in a moment.
die Mutter|mother|Meine Mutter ist eine starke Frau.|My mother is a strong woman.
die Woche|week|Eine Woche hat sieben Tage.|A week has seven days.
der Weg|path, way|Der Weg entlang des Flusses ist sehr schön.|The path along the river is very beautiful.
weiter|further|Weitere Informationen zu diesem Thema stehen im Internet.|Further information on this topic is available on the internet.
das Auge|eye|Er hat schöne blaue Augen.|He has beautiful blue eyes.
oft|often|Sie besucht ihre Oma oft.|She visits her grandma often.
Leute|people|Ich treffe auf der Party viele nette Leute.|I meet a lot of nice people at the party.
allerdings|though, indeed, certainly|Das ist allerdings eine interessante Frage.|That is certainly an interesting question.
sogar|even, in fact|Sogar du kannst die Welt ein bisschen verbessern!|Even you can make the world a little better!
jedoch|however|Mütter haben viel Kraft, können jedoch nicht alles allein schaffen.|Mothers have a lot of strength; however, they can’t do everything on their own.
setzen|to set, place, put|Er setzt das Kind auf den Stuhl.|He puts the child in the chair.
setzen|to sit down|Bitte setzen Sie sich.|Please sit down.
deshalb|therefore|Es gibt bald Regen, deshalb sollten wir ins Haus gehen.|It’s going to rain; therefore, we should go into the house.
weit|widely, far|Ich möchte später weit weg ziehen.|Someday I want to move somewhere far away.
sitzen|to sit|Auf dem Boden sitzt ein schwarzer Hund.|There’s a black dog sitting on the floor.
der Vater|father|Weil seine Freundin ein Baby bekommt, wird Timo endlich Vater.|Because his girlfriend is having a baby, Timo is finally becoming a father.
dein|your|Dein Handy klingelt.|Your cell’s ringing.
arbeiten|to work|Marlene arbeitet in einem Krankenhaus.|Marlene works in a hospital.
das Geld|money|Du gibst viel Geld aus.|You spend a lot of money.
das Unternehmen|enterprise, company|Ich gründe mein eigenes Unternehmen.|I am starting my own company.
nächste|next|Nächste Woche gehen wir schwimmen.|Next week we’re going swimming.
erklären|to explain|Max erklärt mir komplizierte Dinge.|Max explains complicated things to me.
klar|clear|Das Wasser ist sehr klar.|The water is very clear.
der Doktor|doctor|Wenn ich Schmerzen habe, gehe ich zu einem Doktor.|Whenever I’m in pain, I go to a doctor.
das Paar|pair, couple|Zwei Schuhe machen ein Paar.|Two shoes make a pair.
das Paar|a few|Wir brauchen dafür nur ein paar Minuten.|We only need a few minutes for that.
das Recht|right, law|Menschen haben Rechte.|People have rights.
das Recht|all right|Deine Idee ist mir recht.|I’m fine with your idea.
das Recht|rather, quite|Das Zimmer ist recht klein.|The room is quite small.
wegen|because of|Ich mag dich wegen deiner Augen.|I like you because of your eyes.
dir|you|Ich möchte dir ein besonderes Geschenk kaufen, was wünschst du dir?|I want to buy you a special gift, what do you wish for?
das Wasser|water|Ich trinke nur Wasser.|I only drink water.
bestehen|to exist, insist, pass (an exam)|Hoffentlich besteht Anja die Prüfung.|Hopefully Anja passes the exam.
versuchen|to try, attempt|Ich versuche, die Prüfung zu bestehen.|I’m trying to pass the exam.
der Punkt|dot, point, period|Am Ende eines Satzes ist ein Punkt.|At the end of a sentence is a period.
der Grund|reason, basis|Es gibt mehrere Gründe für einen Streit.|There are several reasons for a dispute.
der Kopf|head|Auf dem Hals befindet sich der Kopf.|On the neck is the head.
beginnen|to begin|Mit der Arbeit beginne ich erst morgen.|I won’t start work until tomorrow.
laufen|to run|Die Zeit läuft uns davon.|We’re running out of time.
das Bild|picture|Clarita malt gerne Bilder von Blumen.|Clarita likes to paint pictures of flowers.
verschieden|different, diverse|Alle Menschen sind verschieden.|All people are different.
der Name|name|Mein Name ist Lisa und sie heißt Anika.|My name is Lisa and her name is Anika.
die Aufgabe|task, assignment, job|Ich löse eine mathematische Aufgabe.|I’m solving a mathematical problem.
schwer|difficult, heavy|Das ist eine schwere Frage.|That’s a tough question.
entsprechen|to correspond|Das entspricht unserer Idee.|This corresponds to our idea.
treffen|to meet|Morgen treffe ich mich mit einigen Freunden.|Tomorrow I’m meeting some friends.
die Art|type, kind|Es gibt verschiedene Arten von Tieren.|There are different kinds of animals.
wohl|well|Er fühlt sich wohl.|He feels well.
wohl|probably|Es ist wohl besser, wenn er geht.|It’s probably better if he leaves.
die Geschichte|history, story|Ich lese und schreibe gerne Geschichten.|I like to read and write stories.
erzählen|to tell|Susanne erzählt mir gerne Geschichten.|Susanne likes to tell me stories.
entstehen|to originate, develop|Neben unserem Haus entsteht ein neues Gebäude.|Next to our house a new building is being built.
sicher|safe, secure, certain|Sie machen das Haus sicher.|They make the house safe.
neben|next to, beside|Max steht neben Anja.|Max is standing next to Anja.
allein|alone|Ohne Freunde ist man allein.|Without friends, you’re alone.
die Abbildung|illustration|Die Abbildung Nummer eins zeigt ein gutes Beispiel.|Figure number one shows a good example.
hinter|behind, in back of|Der Garten ist hinter dem Haus.|The garden is behind the house.
besonders|particularly|Das Spiel ist heute besonders spannend.|The game is particularly exciting today.
tragen|to carry, wear|Ich trage eine Hose.|I’m wearing pants.
kaum|hardly|Das Licht ist so hell, ich kann kaum etwas sehen.|The light is so bright I can hardly see anything.
der Freund|friend|Elsbeth ist eine gute Freundin.|Elsbeth is a good friend.
fünf|five|Ich bin in fünf Minuten bei dir.|I’ll be with you in five minutes.
scheinen|to shine, seem, appear|Die Sonne scheint auf die Erde.|The sun shines on the earth.
die Stunde|hour|Eine Stunde hat 60 Minuten.|An hour has 60 minutes.
aussehen|to appear, look|In meinem Kleid sehe ich schön aus.|I look beautiful in my dress.
gern|(with a verb) love to|Tom tanzt sehr gern.|Tom loves to dance.
überhaupt|at all, generally|Anja mag Hunde überhaupt nicht.|Anja doesn’t like dogs at all.
bestimmt|special, certain|Ich bin mir sicher, das Bild wird bestimmt gut.|I’m sure that picture will certainly be good.
sowie|as well as, as soon as, plus|Christina mag Männer sowie Frauen.|Christina likes men as well as women.
der Professor|professor|Ein Professor lehrt an der Universität.|A professor teaches at the university.
darüber|above it, about it|Darüber müssen wir morgen sprechen.|We’ll have to talk about that tomorrow.
deren|whose|Die Frau, deren Vater krank ist, ist traurig.|The woman whose father is ill is sad.
schaffen|to manage, create|Magdalena schafft ihre Prüfung nicht.|Magdalena won’t manage to pass the exam.
damals|then|Damals verdiente ich mehr Geld.|Back then I was making more money.
erhalten|to receive|Du erhältst morgen ein Geschenk.|You’ll receive a present tomorrow.
lernen|to learn|Wir lernen Deutsch.|We’re learning German.
