и	and	Мы здесь живем и работаем.|We live and work here.
человек	human, person	Приятно с умным человеком пообщаться.|It’s nice to have a conversation with an intelligent person.
же	indeed	Антон, я же вас предупреждала!|I did warn you, Anton!
год	year	Сколько вы зарабатываете в год?|How much do you earn a year?
всё	still, all, nevertheless	Он все еще жив.|He is still alive.
такой	such, so	Почему у вас такой усталый вид?|Why do you look so tired?
тот	that, the	Это тот полицейский, который приходил вчера.|It’s the policeman who came yesterday.
или	or	Вы будете чай или кофе?|Would you like tea or coffee?
если	if, in case	Я буду молчать, если ты дашь мне денег.|I will keep quiet if you give me some money.
только	only	Нашему сыну только три года.|Our son is only three years old.
его	his, its	Его мать была художницей.|His mother was an artist.
один	one	У меня четверо детей — один мальчик и три девочки.|I have four children: one boy and three girls.
бы	would	Мы хотели бы купить новую квартиру.|We would like to buy a new flat.
себя	oneself	Я хотел бы заказать места в круизе для себя и своей жены.|I’d like to book  a place on the cruise for myself and for my wife.
время	time	Как Вы проводите свободное время?|How do you spend your free time?
ещё	more, still	Мой брат еще учится в школе.|My brother is still at school.
другой	other, another	Наши друзья уехали в другую страну.|Our friends have gone to another country.
уже	already	Я уже рассказывала об этом.|I’ve already spoken about this.
когда	when	Когда ты вернешься домой?|When will you get home?
сказать	say	Что тебе сказал доктор?|What did the doctor say to you?
до	before, until, to	Как доехать до вокзала?|How can I get to the station?
мой	my	Это мои вещи.|These are my things.
наш	our, ours	Это наш дом.|This is our house.
чтобы	in order to	Повторите несколько раз это слово, чтобы запомнить его.|In order to remember this word repeat it several times.
становиться	become	Мы не хотим становиться стариками раньше времени.|We don’t want to become old before our time.
говорить	talk, speak, tell	Я всегда говорю правду.|I always tell the truth.
самый	most, the very	Рита — самая красивая девочка в школе.|Rita is the most beautiful girl in school.
знать	know	Ты знаешь этого человека?|Do you know this person?
вот	here	Вот наш дом.|Here’s our house.
очень	very	Тебе очень больно?|Are you in very bad pain?
кто	who	Кто это?|Who is it?
при	by, when, in the presence of	Как вам не стыдно ругаться при ребенке!|You should be ashamed of yourself swearing like that in front of a child!
день	day	Какой сегодня день недели?|What day of the week is it?
можно	may, can	Можно выйти из класса?|May I leave the classroom?
жизнь	life	В повседневной жизни я люблю ходить в джинсах и свитере.|In my day-to-day life I like to wear jeans and a jumper.
первый	first	Сегодня первое сентября.|Today is the 1st of September.
сам	myself, yourself, himself	Ты должен это сделать сам.|You must do it yourself.
дело	business, case	Мне необходимо с Вами поговорить по очень важному делу.|I need to speak  to you about something very important.
два	two	У нас осталось две минуты.|We have two minutes.
новый	new	Мы начинаем новый этап своего развития.|We’re starting a new phase in our development.
даже	even	Он даже виду не подал, что ему больно.|He didn’t even show that he was in pain.
хотеть	want	Ты хочешь пить?|Do you want a drink?
должен	must, have to, owe	Сначала я должен сделать домашнее задание.|First I must do my homework.
раз	time	В последний раз мы виделись в 1990 году.|The last time we saw one another was in 1990.
их	their, theirs, them	Мама их ждет.|Mum is waiting for them.
работа	work, job	В чем же тогда заключается работа переводчика?|What exactly does a translator’s job involve then?
какой	which, what	Ты в каком классе учишься?|Which class are you in?
иметь	have	Ты не имеешь права находиться здесь.|You don’t have the right to be here.
со	with, from, since	Она не говорила со мной.|She didn’t speak to me.
там	there	Там никого нет.|There is nobody there.
после	after, afterwards	Что ты будешь делать после школы?|What are you doing after school?
понимать	understand	Они всегда понимали друг друга без слов.|They were always able to understand one another without saying a word.
ли	whether	Мне неизвестно даже, живы ли они.|I don’t even know whether they are alive.
где	where	Ты где был?|Where have you been?
рука	hand, arm	У него сильные руки.|He has strong hands.
город	city	За окном шумел большой город.|We could hear the sound of the big city outside.
вопрос	question, issue	Я задаю самый простой вопрос: сколько бит в байте?|My question is a most simple one: how many bits are in a byte?
её	her, hers	Ее судьба — в наших руках.|Her destiny is in our hands.
под	under	Белая кошка сидит под столом.|The white cat is sitting under the table.
давать	give	Мясо желательно давать ребенку не ранее чем с 7 — 8 месяцев.|Ideally, meat shouldn’t be given to babies until they are 7–8 months old.
слово	word	Он говорил единственное русское слово, которое сумел выучить: —Это!—|He said the only word of Russian that he’d managed to learn: ‘This!’
нет	no, not	У меня нет денег.|I have no money.
место	place	Нам надо найти безопасное место для лагеря.|We need to find a safe place to set up camp.
каждый	every	Я звоню маме каждый день.|I call mum every day.
без	without	Как мы будем жить без электричества?|How are we going to live without electricity?
ребёнок	child	Неизвестно, кем этот ребенок еще вырастет.|We don’t know how the child will turn out.
ну	well	Ну и ну, до чего же все просто!|Well, well, it’s so simple!
более	more	Мы остались именно друзьями, не более.|We remained just friends – nothing more.
друг	friend	Разве можно так обращаться со старым другом!|How can you treat an old friend like that!
идти	go	Куда же мне идти?|But where should I go?
большой	big, large	Там две такие большие собаки ходят.|There are two big dogs over there.
просто	simply, just	По-моему, он просто идиот.|In my view he is just an idiot.
начинать	begin	Пора начинать урок!|It’s time to begin the lesson!
чем	than	Я наловила рыбы больше, чем он.|I caught more fish than he did.
сделать	do, make	Ты сделала домашнее задание по английскому?|Have you done your English language homework?
ваш	your, yours	А где ваш кот?|And where’s your cat?
надо	necessary, must, have to	Что мне надо делать?|What should  I do?
здесь	here	Послушайте, ребята, здесь нет Варечки?|Hey, lads, is Varya here?
Россия	Russia	Россия готова сотрудничать в решении этих проблем.|Russia is willing to cooperate in solving these problems.
делать	do	Он ничего не умеет делать и никогда не умел.|He can’t, and never could,  do anything.
видеть	see	Где ты это видел?|Where did you see it?
потом	after, afterwards	А потом она вышла замуж.|And then she got married.
да	yes	Да, я знаю.|Yes, I know.
ничто	nothing	Абсолютно ничто не может оправдать такие действия.|Absolutely nothing can justify these actions.
получать	receive	Солдат получил письмо из дома.|The soldier received a letter from home.
сейчас	now	Сейчас у меня нет времени.|I don’t have time now.
через	in, after, across	Они переплыли через озеро.|They swam across the lake.
много	many	У нас в группе много новых студентов.|There are many new students in our group.
мир	world, peace	Миру — мир!|Peace to the world!
теперь	now	А теперь подпишитесь.|And now sign your name.
оставаться	remain	Пока этот вопрос остается открытым.|This question remains open for the time being.
случай	case	По-моему, это единственный случай в истории человечества.|I believe that this is the only case of its kind in the history of mankind.
думать	think	Когда мне было 20 лет, я думал только о любви.|When I was 20 the only thing that I thought about was love.
ни	no, neither, nor	У нас нет ни друзей, ни врагов.|We have neither friends nor enemies.
сторона	side	Двор был большой, окруженный домами со всех сторон.|The courtyard was spacious and surrounded by houses on all sides.
хороший	good	Он был в хорошем настроении.|He was in a good mood.
глаз	eye	У него светлые волосы и голубые глаза.|He has light hair and blue eyes.
тогда	then, at the time	Тогда мне было всего четыре года.|At the time I was only four years old.
тут	here	Тут никого нет.|There’s nobody here.
несколько	several, a few	Он опоздал на несколько минут.|He was a few minutes late.
тоже	too, also	Меня тоже Михаилом зовут.|I’m also called Mikhail.
приходить	come	Я люблю, когда приходят гости, но сегодня это некстати.|I like it when guests come, but today isn’t an appropriate time.
дом	home, house	Мы много лет жили в этом доме.|We lived in this house for many years.
страна	country	Он тосковал в чужой стране.|He felt homesick in a foreign country.
работать	work	Удивительно работает мозг в критической ситуации!|The brain works exceptionally well in critical situations.
отвечать	reply, answer	Я не могу ответить на этот вопрос.|I cannot answer this question.
последний	last	Последним уроком в этот день было природоведение.|Natural history was the last lesson of the day.
лицо	face	У него доброе, умное, красивое лицо.|He has a kind, clever and beautiful face.
жить	live	Мы живем в Москве.|We live in Moscow.
сила	strength, force	Не могу понять, как у меня хватило сил пережить эти семь дней.|I don’t know how I had the strength to get through those seven days.
женщина	woman	По коридору прошла пожилая женщина.|An elderly woman walked down the corridor.
выходить	go out	Выйдя на улицу, он сел в такси.|He went out of the house and got in a taxi.
часть	part, proportion	Значительную часть покупателей дорогих магазинов составляет молодежь.|Young people make up a significant proportion of those who shop at expensive stores.
также	also	Также важное значение имеют видеоматериалы о ходе судебных процессов.|Video recordings of trials are also important.
всегда	always	С нашей точки зрения, процесс глобализации существовал всегда.|In our view, globalization has always existed.
являться	be, appear	Его дальнейшее пребывание в училище является бесполезным.|There is no point in him being at the institution any longer.
система	system	Система правосудия все еще находится в зачаточном состоянии.|The justice system is still in a nascent state.
вид	look, view, kind	У вас прекрасный вид из окна.|You have a wonderful view from your window.
голова	head	У тебя голова больше моей!|Your head is bigger than mine!
конец	end, finish	То, что я начал, я всегда довожу до конца.|I always finish what I start.
находить	find	Она нашла ключ и открыла дверь.|She found the key and opened the door.
между	between	Кресло стоит у стены между окном и шкафом.|The armchair is by the wall between the window and the cupboard.
оказываться	turn out, end up	На его месте мог оказаться каждый.|Anyone could end up in his position.
хотя	although, but	Они работали аккуратно, хотя и медленно.|They worked diligently, but slowly.
смотреть	watch	Я смотрела фильм в оригинале, на английском языке.|I watched the film in the original, in English.
конечно	certainly	Мы, конечно, готовы внести свой вклад в решение этой проблемы.|We are certainly willing to play our part in tackling this issue.
проблема	problem	У меня возникли проблемы с переключением передач.|I had problems changing channels.
принимать	take	Вам пора принимать таблетки.|It’s time for you to take your tablets.
спрашивать	ask	Вы хотели меня о чем-то спросить?|Did you want to ask me something?
проходить	pass	Я сейчас проходила мимо столовой.|I just passed the canteen.
отношение	relationship	Никаких длительных отношений у нас не получится.|We couldn’t have any kind of lasting relationship.
три	three	Нас отпустили на три часа.|We were given three hours off.
второй	second, two	Я в соседнем вагоне, второе купе.|I’m in the next car down, compartment two.
перед	before, in front	Перед ним было три пути.|Three paths were in front of him.
лишь	only	Такие решения принимают лишь в самых крайних случаях.|Such decisions are made only in emergencies.
именно	namely	Почему вы выбрали для поступления именно этот институт?|Why did you choose to study namely at this institute?
образ	image, way	Мы никогда не вели себя подобным образом.|We never behaved in such a way.
поэтому	therefore, that’s why	У матери проблемы с дыханием, поэтому я отвезла ее в больницу.|Mother has breathing difficulties; that’s why I took her to the hospital.
почему	why	А почему вы со мной так откровенны?|And why are you being so frank with me?
Москва	Moscow	Я не помню, когда последний раз бывал в Москве.|I can’t remember the last time I was in Moscow.
любой	any	В любой момент я мог отказаться от предложенного шефом плана.|I could have rejected my boss’s plan at any moment.
однако	however	Ей удалось вырваться, однако, по ее словам, последствия ударов по голове продолжают сказываться на ее здоровье.|She managed to get away; however, she says that the blows to the head that she suffered continue to affect her health.
никто	no one, nobody	Зимой здесь никто не живет.|Nobody lives here in the winter.
час	hour	До отправления поезда ещё целый час.|There’s a whole hour before the train goes.
решать	decide, solve	У нас эти проблемы уже решены.|We’ve already solved these problems.
деньги	money	Деньги — очень важны.|Money is very important.
считать	count	До скольких ты умеешь считать?|How high can you count?
над	above	Я смотрела на фотографию, что висела над рабочим столом.|I looked at the photograph hanging above the desk.
земля	land, ground	Мы будем продолжать бороться за эту благословенную землю.|We will continue to fight for this blessed land.
сегодня	today	Мы не можем сегодня изменить решение, принятое два месяца тому назад.|We cannot change today a decision that was taken two months ago.
русский	Russian	У нас первым уроком был русский язык.|Our first lesson was Russian language.
вообще	generally, at all	Я с ним вообще не знаком.|I don’t know him at all.
взять	take	Мишка взял книгу и стал читать.|Mishka took the book and started to read.
книга	book	Под мышкой она держала толстую старинную книгу.|She had a big old book under her arm.
хорошо	well, all right	Директор школы хорошо знает Вику.|The headmaster of the school knows Vika well.
пойти	go, start going	Спешить мне было некуда и я пошел гулять пешком.|There was no rush,  so I went on foot.
некоторый	some	В то же время он отметил некоторое улучшение экономического положения страны.|At the same time, he noted some improvement in the country’s economy.
компания	company	Она работает в компании µМТС¶.|She works at the ‘MTS’ company.
история	history, story	Сейчас я расскажу вам интересную историю.|Now I’ll tell you an interesting story.
многие	many	Многие мужчины так поступают.|Many men behave like that.
приходиться	have to	Мне приходится часто вести переговоры.|I often have to chair negotiations.
любить	love	Как все малыши, он очень любил сладкое.|He, as all children, loved sweets.
возможность	opportunity, possibility	Мы даже сейчас не исключаем возможность ошибки.|Even now we can’t exclude the possibility that a mistake was made.
нужно	necessary	Если дать больше, чем нужно, это убьет пациента.|If more than the necessary dose is administered, it will kill the patient.
всё	all, everything	Я сделаю все, что вы хотите.|I’ll do everything you want.
результат	result	Опыты эти дали потрясающие результаты.|These experiments produced amazing results.
больше	more	Я больше не мог вытерпеть.|I couldn’t bear it anymore.
высокий	tall, high	Дом окружали высокие деревья.|The house was surrounded by tall trees.
например	for example	Некоторые товары, например, яблоки, стоят здесь дороже.|Some products, for example apples, are more expensive here.
почти	almost	С тех пор прошло почти шесть лет.|Almost six years have passed since then.
писать	write	Ты просто не умеешь писать грамотно.|You’re simply incapable of writing in a literate manner.
возвращаться	return	Дети возвращались вместе из школы домой.|The children returned from school together.
сидеть	sit	Часами приходилось сидеть за столом, занимаясь бумажной работой.|I had to spend hours sitting behind a desk doing paper work.
уходить	leave	Поезд уходит с Казанского вокзала в 12 часов по московскому времени.|The train leaves Kazan’ Station at 12:00 Moscow time.
твой	your, yours	Все будет в порядке, твоя мама поправится.|Everything is going to be okay; your mum is going to get better.
машина	machine, car	В переулке стояла машина.|There was a car in the alley.
группа	group, grouping	В возрастной группе до 30 лет утвердительный ответ дали 44%.|44% of those in the ‘under 30’ group answered ‘Yes’ .
пока	while	А пока мы ждем ответа, давайте поиграем.|Let’s play a game, while we’re waiting for a response.
находиться	be	Водитель находился в нетрезвом состоянии.|The driver was under the influence of alcohol.
право	right, rights, law	Вы не имеете права так говорить!|You have no right to talk like that!
увидеть	see	Увидя нас, они остановились.|They stopped when they saw us.
война	war	С сентября прошлого года в нескольких частях мира начались новые войны.|Since last September new wars have begun in several parts of the world.
путь	way	Остаток пути мы прошли молча.|We went the rest of the way in silence.
что-то	something, anything	Вас тревожит что-то серьёзное?|Is it something serious that’s worrying you?
ведь	but, after all	Но это же нечестно, папа, ведь ты обещал щенка!|But that’s not fair, dad: you did promise me a puppy after all!
стоять	stand	Десять солдат стояли на страже возле его резиденции.|Ten soldiers stood guard outside his residence.
имя	name	Пообещай, что никому не откроешь мое настоящее имя.|Promise that you won’t tell anyone my real name.
никогда	never	Мы никогда не простим себе этого.|We will never forgive ourselves for this.
помогать	help	Я могу вам чем-то помочь?|Can I help you?
стоить	cost	Мы привыкли, что буханка хлеба стоит пять рублей с копейками.|We were used to a loaf of bread costing just over five rubles.
ответ	answer, reply	Однозначного ответа на этот вопрос, к сожалению, нет.|Unfortunately, there’s no single answer to this question.
появляться	appear	В окнах начали появляться любопытные лица.|Curious faces appeared at the windows.
бог	God	А вдруг, не дай Бог, случится авария?|What if there’s an accident, God forbid?
вода	water	Выпей воды.|Drink some water.
совсем	completely, very	Они совсем забыли об этом.|They completely forgot about it.
язык	language, tongue	Высуньте, пожалуйста, язык и скажите µа¶.|Stick out your tongue, please, and say ‘ah’ .
показывать	show	Попроси его показать тебе Москву.|Ask him to show you Moscow.
казаться	seem	Казалось, с минуты на минуту польется дождь.|It seemed that it would start raining any moment.
далеко	far	Он не уFпел далеко уйти.|He didn’t manage to get very far.
нужный	necessary	Решение следует принимать, только имея всю нужную информацию.|Only once we’ve got the necessary information can we make a decision.
маленький	small	В маленьком городке, где он живет, негде учиться.|There’s nowhere to study in the small town where he lives.
российский	Russian	Он — известный российский ученый.|He’s a well-known Russian scholar.
решение	decision	Решения принимают на основе консенсуса.|Decisions are made by consensus.
народ	people, nation	Какой народ самый умный?|Which nation is the most intelligent?
рассказывать	tell	Расскажи нам, как это произошло.|Tell us how it happened.
власть	power	Они организовали заговор с целью захвата власти и свержения конституционного строя.|They conspired to seize power and to overthrow the constitutional system.
сразу	at once	А я тебя не узнала сразу.|I didn’t recognize you at first glance.
ночь	night	После бессонной ночи я встал слабый и измученный.|After a sleepless night  I got up weak and exhausted.
полный	full, total	Я взял себе полную тарелку жареной рыбы.|I took a full plate of fried fish.
никакой	no, none, any	Но у них нет никаких доказательств!|But they don’t have any evidence!
главный	chief, main	Наша главная задача состоит в повышении эффективности управления.|Our main task is to make the administration more effective.
оно	it	Вот оно, это письмо.|There it is, the letter.
дверь	door	Из открытой двери в коридор лился неяркий свет.|A dim light shone into the corridor from the open door.
часто	often	Не так часто бывает, чтобы мы собирались вместе.|It’s not that often that we meet.
уровень	level, rate	Уровень безработицы среди женщин снизился до 10 процентов.|The rate of unemployment among women dropped to 10 per cent.
создавать	create	Ученые создали новую безопасную и эффективную вакцину.|Scientists have created a new safe and effective vaccine.
закон	law	Эти действия нарушают закон о защите авторского права.|These actions infringe copyright laws.
развитие	development	ООН играет важную роль в области дальнейшего развития мировой информационной сети.|The United Nations has an important role to play in the further development of the world information network.
программа	programme	Правительство разрабатывает программу по борьбе с этим бедствием.|The Government is putting together a programme to combat the scourge.
начало	beginning	До начала учебного года оставалось недели две.|There are only two weeks to go before the start of the academic year.
написать	write	Перед новогодними праздниками девочка написала письмо Деду Морозу.|The young girl wrote a letter to Father Christmas just before the New Year holidays.
отец	father	Малыш, а где твой отец?|Child, where’s your father?
нога	leg, foot	Они с трудом поднялись на ноги.|They struggled to get to their feet.
вместе	together	Мы можем уйти все вместе.|We can all leave together.
старый	old	Мне нужно сказать пару слов старому другу.|I need to say a few words to an old friend.
момент	moment	Однако в самый последний момент возникли непредвиденные обстоятельства.|However, there were some unforeseen developments right at the last moment.
помощь	help	Иван вызвал по радио помощь.|Ivan radioed for help.
цель	goal	Есть более спокойные пути к намеченной цели.|There are easier ways of achieving your goal.
следующий	next	По графику примерки намечены на следующую неделю.|The fittings are scheduled for next week.
число	number, date	Какое сегодня число?|What’s the date today?
подобный	similar	Нам неизвестны подобные случаи.|We are not aware of such cases.
разный	different, all kinds of	В храм приходят совершенно разные люди.|All kinds of people go to the temple.
тысяча	thousand	Возраст этих рифов может достигать восьми тысяч лет.|Some of these reefs are up to eight thousand years old.
про	about	Мне уже рассказывали про этого парня.|I’ve already been told about this boy.
общий	general, common	На осень запланировано общее собрание членов Ассоциации.|A general meeting of the Association is planned for the autumn.
минута	minute	Кульминационный момент произошёл на последней минуте матча.|The decisive moment came in the last minute of the match.
информация	information	В Управление Верховного комиссара поступила информация из самых разных источников.|The Office of the High Commissioner has received information from various sources.
кроме	besides, apart from	Аплодируют все, кроме одного зрителя.|All apart from one member of the audience are clapping.
смочь	be able, can	Всю необходимую информацию вы сможете получить по телефону.|You can get all the necessary information over the telephone.
процесс	process	Большинство химических процессов сильно зависят от температуры.|The majority of chemical processes heavily depend on temperature.
автор	author	Права на публикуемые материалы принадлежат авторам.|Authors hold publication rights for their work.
форма	form, shape	Они могут быть в форме рыбки, звездочки, шарика, колокольчика.|They can be in the shape of a fish, a star, a ball or a bell.
голос	voice, vote	В это время по радио раздался голос диктора.|At this time the director’s voice came over the radio.
месяц	month	Он пообещал вернуться через месяц.|He promised to come back in a month.
мысль	thought	Эта мысль приходила мне в голову и раньше.|This thought had occurred to me earlier.
свет	light	Вся комната была залита солнечным светом.|The whole room was filled with sunlight.
школа	school	Мы учились в одной школе, правда, он на год младше.|We went to the same school, though he was a year younger.
действие	action, effect	Закон был введен в действие с сентября прошлого года.|The law came into effect last September.
всякий	any, every	У Славки, как и у всякого человека, есть свои недостатки.|Slavka has her faults just like any other person.
качество	quality	Этот факт говорит о высоком качестве нашей продукции.|This fact speaks volumes about the high quality of our products.
ситуация	situation	Самая неблагоприятная ситуация сложилась в Центральном Федеральном округе.|The most unfavourable situation was in the Central Federal District.
область	region, area, field	Последние крупные исследования в этой области были опубликованы в 1970-х годах.|The most recent major studies in the field were published in the 1970s.
внимание	attention	Опыт Совета заслуживает пристального внимания со стороны ООН.|The Council’s experience deserves close attention from the United Nations.
следовать	follow, should	Если это не поможет, вам следует обратиться к врачу.|You should see a doctor if this doesn’t work.
дорога	road	Строительство дороги планируется начать в апреле 2001 года.|Construction of the road is due to begin in April 2001.
использовать	use	Было рекомендовано и далее использовать эти методы.|It was recommended that the methods continue to be used.
собственный	own	В этом я убедилась на собственном опыте.|My own experience convinced me of this.
замечать	notice, note	Ты успел заметить номер машины?|Did you manage to note the car’s number plate?
взгляд	glance	Бросив на меня беглый взгляд, она все поняла.|Having given me a quick glance, she realized everything.
условие	condition	Я еду с женой, это мое условие.|I’m going with my wife; that’s my condition.
молодой	young	В литературу вошло новое молодое поколение.|A young new generation has appeared in literature.
мужчина	man	Им было приказано задерживать всех мужчин.|They were ordered to detain all the men.
предлагать	offer, propose	Я предлагаю выпить за нашего друга, у которого сегодня день рождения!|I propose a toast to our friend, whose birthday it is today.
снова	again	Миша снова посмотрел на часы.|Misha looked at his watch again.
любовь	love	Человек способен на безграничную любовь.|Human beings are capable of unbounded love.
связь	connection, bond, communication	Мы всегда поддерживаем тесную связь с Родиной.|We’ve always maintained a close bond with our homeland.
важный	important	Нет более важного вопроса, чем этот.|There isn’t a question that is more important than this one.
ждать	wait	Я долго ждал звонка, но так и не дождался.|I waited and waited, but didn’t get a call.
вдруг	suddenly	Вдруг я услышал два выстрела.|Suddenly I heard two shots.
игра	game	Начинается игра, как обычно, с выбора водящего.|The game usually starts when a captain is chosen.
читать	read	Саша охотно давала читать книги друзьям.|Sasha willingly gave his friends books to read.
скоро	soon	Война скоро кончится, я опять буду дома.|The war will soon be over and I’ll be back home.
организация	organization	Мы работаем с общественной организацией µМатери против наркотиков¶.|We work with the community organization ‘Mothers against Drugs’ .
статья	article	Статья появилась в µПравде¶ на следующее утро.|The article appeared in Pravda the next morning.
средство	remedy, means, way	Для нее это единственное средство спасти отца.|This was the only way for her to save her father.
душа	soul	Музыка проникала в ее душу.|Music seeped into her soul.
входить	enter	Он категорически запретил входить в свой кабинет.|He put a strict ban on anyone entering his office.
пытаться	try, attempt	Женщины безуспешно пытались найти новую работу.|The women were unsuccessful in their attempt to find a new job.
основной	main, fundamental	Одной из основных задач деятельности администрации является искоренение нищеты.|Poverty eradication was a fundamental task of the administration.
тело	body	Леонардо да Винчи достиг совершенства в изображении человеческого тела.|Leonardo da Vinci became a master at portraying the human body.
посмотреть	watch, look	Женщина посмотрела на меня и улыбнулась.|The woman looked at me and smiled.
жена	wife	Пять лет назад от него ушла жена.|His wife left him five years ago.
открывать	open	Они хотели открыть дверь, но не было ключа.|They wanted to open the door, but they didn’t have the key.
пора	it’s time	Остап понял, что пора уходить.|Ostap realized it was time to go.
узнавать	recognize, find out	Он прибыл сюда, чтобы узнать о судьбе отца.|He came here to find out about the fate of his father.
письмо	letter	Его жена получила от него последнее письмо весной 1942 года.|His wife received the last letter from him in spring 1942.
общество	society	Положение женщин в семье тесно связано с их положением в обществе.|The status of women within the family is closely related to their status within society.
состояние	condition, state	Меня волнует его состояние здоровья.|I’m worried about the state of his health.
настоящий	present	В настоящее время это невозможно.|This isn’t possible at the present time.
вечер	evening	Каждый вечер я прихожу сюда.|I come here every evening.
существовать	exist, be	Существует множество противоречивых мнений по этому поводу.|There are lots of contradictory opinions about this.
назад	back, ago	30 лет назад вышла его первая книга.|His first book was published 30 years ago.
смысл	meaning, sense, point	Не имеет смысла тратить на это время.|There’s no point wasting time on it.
семья	family	Я всегда мечтала о большой дружной семье.|I always dreamed of having a big happy family.
мера	measure	Необходимо принять срочные меры по стабилизации экономики.|We need to take urgent measures to stabilize the economy.
государство	state	Большинство процветающих стран мира — демократические государства.|Most prosperous countries are democratic states.
совершенно	entirely	На мой взгляд, это совершенно разные вещи.|In my opinion, these are entirely different issues.
