el/la	the	el diccionario tenía también frases útiles|the dictionary also had useful phrases
problema	problem	el problema es que no nos queda tiempo|the problem is that we don’t have enough time
hacia	toward, towards	sus sentimientos hacia él son todavía tan firmes|her feelings for him are still so strong
presidente	president	el presidente es la máxima autoridad del país|the president is the one with the most authority in the country
cual	which, who, whom	el amor fue el motivo por el cual lo hizo|love was the reason for which he did it
junto	together	la tierra giraba en torno al sol junto con cinco planetas más|the earth revolved around the sun together with five more planets
luego	later, afterwards	primero está ella y luego yo|she’s first then I’m next
cómo	how?	¿Cómo se hace un pastel de chocolate?|How do you make a chocolate cake?
trabajo	work, job, effort	pasó su vida entera dedicado a su trabajo|she spent her entire life dedicated to her work
caso	case, occasion	luego, en este caso está plenamente justificada|then, in this case it is fully justified
mayor	larger, older, main	yo trabajé la mayor parte del tiempo|I worked the majority of the time
además	also, as well, besides	además de español, ¿hablas algún otro idioma?|besides Spanish, do you speak any other language?
acercar	to come near	ella me miró, se acercó, me besó|she looked at me, came up to me, and kissed me
esperar	to wait, hope (for), expect	te esperaremos en el restaurante|we’ll wait for you at the restaurant
nunca	never, ever	se aprecia ahora más que nunca la libertad|you appreciate freedom now more than ever
cierto	certain, sure, true	no sé si esto es cierto o no|I don’t know if this is true or not
hora	hour, time (specific)	te veo dentro de media hora|I will see you in half an hour
dónde	where?	¿Dónde está escrito esto en la historia?|Where is that written in history?
padre	father	¿Es el padre de mi futuro hijo?|Is he the father of my future child?
gustar	to be pleasing to	¡Me gusta mucho la música folklórica!|I really like country music!
noche	night, evening	trabaja por la mañana, por la tarde, y por la noche|he works in the morning, the afternoon, and the evening
nosotros	we (subj)	ábrenos! somos nosotros|open up! it’s us
casi	almost, nearly	estamos casi siempre solos|we are almost always alone
hoy	today, nowadays	ayer estuvo aquí; hoy puede estar allá|yesterday he was here; today he might be there
tipo	type, kind	reconozco tu oposición a este tipo de ideología|I recognize your opposition to this kind of ideology
ojo	eye	los grandes ojos verdes la miraban con ternura|his large green eyes looked at her with tenderness
manera	way, manner	lo hizo de manera muy informal|he did it in a very informal manner
importante	important	el momento más importante de la ceremonia|the most important moment of the ceremony
contar	to tell, count	me contó una larga y estúpida historia|he told me a long and silly story
niño	child, little boy	he tenido suerte desde que era niño|I have been lucky since I was a child
trabajar	to work	comenzaban a trabajar de camareros|they began to work as waiters
empezar	to begin, start	lentamente su auto empieza a avanzar|his car slowly began to move forward
verdad	truth	diga la verdad!|tell the truth!
contra	against, opposite	hermanos contra hermanos y padres contra hijos|brothers against brothers and fathers against sons
ciudad	city	quieren estar en la ciudad y no salir al campo|they want to be in the city and not leave for the country
buscar	to look for	decidí volver a la calle y buscar un empleo|I decided to return to the streets and look for a job
ahí	there	debe estar por ahí|it must be around there
solo	lonely, alone	se sentía solo, espantosamente solo|he felt alone, terrifyingly alone
fin	end; a f. de: in order to	puse fin a la discusión|I put an end to the discussion
propio	own, proper, typical	le doy dinero de mi propio bolsillo|I give him money from my own pocket
tú	you (subj-sg/+fam)	ella es más alta que tú|she is taller than you
gobierno	government	el feudalismo fue la forma de gobierno|feudalism was the form of government
historia	history, story	aquello ya pasó a la historia|that’s ancient history now
ejemplo	example	no des mal ejemplo a los niños|don’t set a bad example for the kids
último	last, final	se opuso al viaje hasta el último momento|he was against the trip until the last minute
punto	point, dot, period	este punto de vista es mejor|this point of view is better
antes	before	quería verla antes de salir|I would like to see her before leaving
mil	thousand	unos mil años han pasado desde entonces|about a thousand years have passed since then
palabra	word	jamás dijo una palabra en inglés|he never said a word in English
obra	work, book, deed	la primera obra literaria de Dante fue La Vida Nueva|the first literary work of Dante was The New Life
existir	to exist	¿Puede existir alguien que sea perfecto?|Is it possible that a perfect person exists?
perder	to lose, miss	quiere perder diez libras antes de la boda|she wants to lose ten pounds before the wedding
cuenta	bill, account	sería bueno sacar la cuenta y calcular gastos|it would be good to take inventory and calculate the costs
allí	there, over there	allí están, junto a la playa|there they are, on the beach
escribir	to write	mi padre escribe unas cartas cortas|my father wrote a few short letters
cualquiera	any, anyone	son patrocinadas con lo que cualquiera puede donar|they are paid for by donations from anyone
grupo	group	¿Cuál será su papel en ese grupo de trabajo?|What will be your role in this work group?
señor	sir, Mr, lord	¿Puedo pagar con dólares? // Sí, señor.|Can I pay with dollars? // Yes, sir.
pequeño	little, small, young	a pesar de su pequeño tamaño, estaba llena de detalles|in spite of its small size, it was full of details
embargo	nevertheless	sin embargo, es uno de mis mejores amigos|nevertheless, he is one of my best friends
agua	water	Déme un vaso de agua; que tengo mucha sed.|Give me a glass of water; I am very thirsty.
realizar	to fulfill, carry out	el viaje se realizó en noviembre|the trip took place in November
nadie	nobody, anybody	nadie sabe nada|nobody knows anything
entrar	to enter	¡Este maldito no puede entrar en nuestra casa!|This devil cannot enter into our house!
arte	art, skill	la creación de un museo de arte moderno y contemporáneo|the creation of a museum of modern and contemporary art
leer	to read	prefiero leer a los autores de moda|I prefer to read the popular authors
amigo	friend	¿No tienes un amigo a quien me podrías presentar?|You don’t have a friend that you could introduce me to?
recordar	to remember, remind	prefiero no recordar esa época de mi vida|I prefer not to remember that time of my life
morir	to die	los pobres murieron de pulmonía meses después|the poor people died of pneumonia months later
único	only, unique, sole	era el único hijo varón de la familia|he was the only male child in the family
lado	side	está situada al lado derecho|it is situated on the right side
nombre	name, noun	Susana no es mi nombre verdadero|Susana is not my real name
recibir	to receive	Pavlov recibe el Premio Nobel por sus estudios|Pavlov receives the Nobel Prize for his studies
pedir	to ask for, request	me atreví a pedirle que bailara con migo|I dared to ask if he would dance with me
permitir	to allow, permit	no se me permitió jugar allí por varios días|I wasn’t allowed to play there for several days
preguntar	to ask (a question)	les voy a preguntar si quieren comer|I am going to ask them if they want to eat
social	social	no me gusta la vida social, no voy a ninguna fiesta|I don’t like social life, I’m not going to any party
sistema	system	el corazón es parte del sistema circulatorio|the heart is part of the circulatory system
tal	such (a)	bien sabía que tal cosa era imposible|it was well known that such a thing was impossible
segundo	second	espérame un segundo|wait just a second
ante	before, in the presence of	no sé qué hacer y cómo actuar ante estas circunstancias|I don’t know what to do and how to act faced with these circumstances
viejo	old, aged	el hombre viejo tiene como ochenta años, y está loco|the old man is about eighty years old, and he is crazy
madre	mother	ahora está casada y es madre de familia|now she is married and the mother of a family
siglo	century, age	los poetas más populares del siglo 20|the most popular poets of the twentieth century
nacional	national	le dieron el premio nacional de poesía|they gave him the national award in poetry
entender	to understand	todavía no entiendo demasiado bien lo que pasó|I still don’t understand very well what happened
libro	book	¿Está usted escribiendo un libro sobre la política?|You are writing a book about politics?
alto	tall, high	estás tan alto como yo|you are as tall as I am now
cuerpo	body	el cuerpo humano se compone de millones de células|the human body is composed of millions of cells
familia	family	la familia es la unidad social más significativa|family is the most significant social unit
comenzar	to begin, start	a los veintidós años comenzó a aprender castellaño|at twenty-two years old, he began to learn Spanish
presentar	to introduce, present	Mi madre me presentó a mi futuro esposo.|My mother introduced me to my future husband.
bajo	under, underneath	encontraron las sepulturas bajo tierra|they found the tombs under the ground
según	according to	Según su experiencia, ésa era la pista correcta.|According to his experience, this was the right trail.
frente	front	si uno situa un espejo frente a otro, crea un portal infinito|if you place one mirror in front of another, it creates an infinite loop
crear	to create	su actitud crea muchos problemas|your attitude creates a lot of problems
tema	theme, subject, topic	es un tema delicado|it’s a delicate topic
cuatro	four	tienen cuatro patas y cuernos|they have four legs and horns
ah	oh	Ah, bueno...¿Ya movieron los materiales?|Oh, good...You already moved the materials?
humano	human	El sistema nervioso humano tiene sistemas neurales complejos.|The human nervous system has complex neural systems.
pueblo	people, village	el libro no representa al pueblo portugués|the book did not represent the Portuguese people
producir	to produce, cause	tus acciones me producen tristeza|your actions cause me grief
abrir	to open	Abre la ventana. Hace calor.|Open the window. It’s hot.
idea	idea	no podemos renunciar a la idea de la igualdad|we can’t give up on the idea of equality
millón	million, fortune	le ha proporcionado un cheque de un millón de pesetas|he has given him a check for a million pesetas
sentar	to sit (down), seat	los niños pasaban a sentarse en sus escritorios|the children went to sit at their desks
aún	still, yet	ni aún así me quedaría|not even then would I stay
caer	to fall	no quiero caer en mi tumba siendo joven|I don’t want to fall down dead at a young age
voz	voice	un hombre de voz vibrante y rica empezó a cantar|a man with a rich and vibrant voice began to sing
terminar	to finish, end	cuelga sin terminar la conversación|he hangs up without finishing the conversation
oír	to hear	no se oía ningún sonido|not a sound was heard
cambiar	to change	no van a cambiar la disposición de invitados|they are not going to change the seating arrangement
ninguno	no, none, nobody (PRON)	No tengo ningún lugar adonde ir.|I have no place to go.
considerar	to consider	no podía considerar la primera hipótesis con seriedad|I couldn’t seriously consider the first hypothesis
político	political	la acción política debe respaldarse en la económica|political action should be supported economically
tierra	earth, land, ground	la tierra aquí es oscura y rica|the land here is dark and rich
realidad	reality, actuality	le habló a Rosabel, que en realidad se llamaba María|he spoke to Rosabel, who in reality is named María
convertir	to convert, change, become	el café llegó a convertirse en la bebida más popular de Cuba|coffee went on to become the most popular drink in Cuba
español	Spanish	la lengua española de hoy es el castellano|the Spanish language of today is Castilian
igual	equal, same (as)	los indios son seres humanos iguales que nosotros|Indians are human beings, the same as us
todavía	still, yet	los animales todavía están vivos|the animals are still alive
cabeza	head (part of body)	planteaba muchas preguntas en mi cabeza|he planted a lot of questions in my head
derecho	right, justice, law	Tengo derecho a opinar.|I have the right to express my opinion.
mantener	to keep, maintain	Luis cruzó los brazos y se mantuvo sereno|Luis crossed his arms and kept calm
utilizar	to use, utilize	sería una buena idea utilizar colores pálidos|it would be a good idea to use pale colors
calle	street	llegó a la esquina de la calle La Merced y La Esperanza|she arrived at the street corner of La Merced and La Esperanza
través	a t. de: through, across	se enteró a través de un amigo|she found out about it through a friend
estado	state, condition, status	hay un estado de incertidumbre que flota en el ambiente|there was a state of uncertainty hanging in the air
relación	relationship, relation	he tenido una relación muy estrecha con los compositores|I have had a very close relationship with the composers
sacar	to take out	sacó un bolígrafo de su bolso y firmó el cheque|she took a pen out of her purse and signed the check
puerta	door	¿Por dónde estará la puerta de salida?|Where would the exit door be?
gracias	thanks, thank you	Doygraciasa Dios por haberme permitido alcanzar mi objetivo.|I thank God for letting me achieve my goal.
necesitar	to need	vas a necesitar un trabajo nuevo|you are going to need a new job
resultar	to result, turn out	el viaje resultó perfecto|the trip turned out perfectly
luz	light	desaparece la luz hasta el oscuro|the light disappeared into the darkness
paso	step, pace	di dos pasos adelante y uno hacia atrás|I took two steps forward and one backwards
general	general	se realiza en el pabellón de operaciones, bajo anestesia general|it is carried out in the operation room, under general anesthesia
escuchar	to listen to	tuvo oportunidad de escuchar comentarios de viajeros|he had the opportunity of hearing the travelers’ comments
guerra	war, warfare	qué pronto se olvida a las víctimas de una guerra|how soon we forget the victims of war
amor	love	¡Tengo el amor más grande del mundo!|I have the greatest love in the world!
cinco	five	mi hija solamente tiene cinco años|my daughter is only five years old
situación	situation	¿Cómo es la situación allí actualmente?|What is the situation there at present?
conseguir	to get, acquire, obtain	te puedo conseguir su número|I can get you her phone number
lograr	to achieve, get, manage	un director no puede lograr buenos resultados sin ayuda|a director can’t get good results without help
mes	month	la boda tendrá lugar el próximo mes de noviembre|the wedding will take place next month in November
quién	who?, whom?	¿Quién es el padre de su hijo?|Who is the father of your child?
fuerza	strength, force, power	necesitaba recuperar fuerzas|I needed to recover my strength
ocurrir	to happen, occur	el miedo a lo que pudiera ocurrir me inmovilizó|the fear of what could happen immobilized me
aparecer	to appear	detrás suyo, Teresa apareció por la puerta de la cocina|behind him, Teresa appeared at the kitchen door
diferente	different, separate	en un entorno urbano el reto, en cambio, es diferente|in an urban environment, however, the challenge is different
muerte	death	sólo la muerte no tiene remedio|only death cannot be cured
ganar	to win, earn	después de diez años ganó el Premio Nobel|after ten years he won the Nobel Prize
estudio	study, learning	he colaborado en un estudio de psicología descriptiva|I have participated in a descriptive psychology study
nivel	level	el nivel del mar empezaba a aumentar|the sea level began to rise
proceso	process, procedure	el proceso electoral fue justo|the electoral process was fair
fuera	out, outside, away	hace como diez años que vivo fuera del Paraguay|I have lived outside of Paraguay for about ten years
largo	long	Salgo de pronto a un largo viaje.|I’m leaving soon for a long trip.
semana	week	no todos los días, pero varios días de la semana|not every day, but a few days of the week
partido	party, group, (sports) match	fue consejero de un candidato del partido conservador|he was an advisor to the conservative party candidate
acabar	a. de V: to have just Ved; finish	la película acabó bien|the movie ended well/had a good ending
explicar	to explain	¿Podría explicar los detalles de este análisis?|Could you explain the details of this analysis?
cuyo	whose	tengo un amigo cuyo niño asiste a esa escuela|I have a friend whose son goes to that school
razón	reason; tener r.: to be right	se quejan sin razón|they complain for no reason
negro	black	Hay un agujero negro en la galaxia M87.|There is a black hole in galaxy M87.
bastante	rather, fairly, quite a bit (ADV)	estoy bastante satisfecho con mi vida|I am quite satisfied with my life
efecto	effect	para estudiar el efecto del Sol sobre la emisión de rayos X|to study the sun’s effect on X-ray emission
servicio	service, helpfulness	es un servicio público que beneficia al individuo|it is a public service that benefits the individual
formar	to form	salieron para formar sus propios grupos|they left to form their own groups
económico	economic	es necesario tener progreso económico|it is necessary to have economic progress
servir	to serve	destapa la botella y sirve unas copas|he uncaps the bottle and serves the drinks
allá	there, over there	miren allá, cerca de la fuente|look over there, by the fountain
empresa	firm, company, venture	operaba con una empresa constructora del Reino Unido|he worked with a construction company from the United Kingdom
centro	center, middle, downtown	no necesitan estar solos en el centro del escenario|they don’t need to be alone in the center of the stage
usar	to use	mi teléfono no funciona y quisiera usar el tuyo|my telephone doesn’t work and I wanted to use yours
tras	after, behind	había retornado a su tierra tras años de lucha|he had returned to his homeland after years of struggle
cambio	change; en c.: instead	podría requerir un cambio de actitud|it could require a change in attitude
clase	kind, class, order	¿Qué otra clase de música le interesa?|What other kind of music interests you?
distinto	distinct, different	abrirían las puertas a un futuro distinto para mí|they would open doors to a different future for me
animal	animal	En la selva, el león es el rey de todos los animales.|In the jungle, the lion is the king of the animals.
hecho	fact, happening	le gustó el hecho de que yo estuviese allí|she liked the fact that I was there
número	number	ella escribía su número telefónico en un papelito|she wrote her telephone number on a little piece of paper
dicho	aforementioned, said	Necesita organizar su espacio interno en función de dicho sistema.|He needs to organize the internal space in terms of the aforementioned system.
información	information	trató de obtener información más precisa|she tried to obtain more precise information
tocar	to touch, play (instrument)	se acercó hasta tocar su rodilla con la mía|she got closer until her knee touched mine
ayudar	to help	espero ganar dinero para ayudar a mi pobre madre|I hope to earn money to help my poor mother
público	public	no se va a arrendar ni a parcelar el espacio público|they will not rent out or divide up public spaces
mostrar	to show	con un dedo me mostró un agujerito negro|he showed me a black hole with his finger
mas	but, however	es posible mas lo dudo|it is possible but I doubt it
estudiar	to study	Adam quiere estudiar teología y ser sacerdote|Adam wanted to study theology and be a priest
hermano	brother, [pl] siblings	tengo tres hermanos y dos hermanas|I have three brothers and two sisters
ley	law, bill, rule	el casamiento civil es una ley de este país|civil marriage is a law in this country
sentido	sense, feeling	es una cantante-actriz en el sentido actual del término|she is a singer-actress in the current sense of the word
incluso	including, even (ADV)	¡Vamos! Incluso yo sabía.|Come on! Even I knew.
cara	face, expression	aparece la cara del hombre con su bigote|the face of a man with a mustache appeared
principio	beginning, principle	tiene fiebre al principio de la enfermedad|he had a fever at the beginning of the sickness
programa	program, plan	van a aprender mucho de este programa escolar|they are going to learn a lot from this school program
música	music	la gente se detenía siempre a escuchar la música que tocaban|the people always stayed around to listen to the music they played
traer	to bring, carry	sí, me trae un zumo de naranjas, por favor|yes, bring me an orange juice, please
campo	field, country	mi campo principal es la enfermedad coronaria|my main field is coronary heart disease
correr	to run	corre tres kilómetros y medio cada mañana|he runs three and a half kilometers every morning
actividad	activity, action	pienso que el arte es una actividad mental|I think that art is a mental activity
quizás	perhaps, maybe	quizás sí, pero de otra forma|maybe so, but in another way
alguien	somebody, someone, anyone	alguien vino a preguntar por usted|someone came and asked for you
comer	to eat	te comiste todo el queso|you ate up all the cheese
acuerdo	accord; de a.: in agreement	estoy de acuerdo con esa interpretación|I am in agreement with that interpretation
demás	the rest, others	es la envidia de los demás estudiantes|he is the envy of other students
siguiente	following, next	al día siguiente se levantó más decidido que nunca|the next day he got up more determined than ever
ofrecer	to offer, present	este hotel ofrece su menú en francés|this hotel offers their menu in French
poder	power	le dio el poder de manejar la economía mundial|he was given the power to manage the world economy
sociedad	society	creaban una sociedad multicultural que vivía en paz|they created a multicultural society that lived in peace
levantar	to raise, lift	de pronto se levantó y fue hasta su biblioteca|he suddenly stood up and went to his library
dios	god, divinity	ahora sé que hay un Dios en los cielos|now I know there is a god in the heavens
jugar	to play (sport/game)	¿Quieres jugar al fútbol esta tarde?|Do you want to play football this afternoon?
época	time, age, period	en la época romana se utilizaba más el bronce|in the Roman age they used bronze more
color	color	los colores primarios son rojo, azul, y amarillo|the primary colors are red, blue, and yellow
zona	area, zone	conquistó la zona alemana de Samoa en agosto de 1914|he conquered the German zone in Samoa in August of 1914
malo	bad	éste se lamentó de su mala suerte|he lamented his bad luck
comprar	to buy	me iba a comprar un televisor|I was going to buy a television
necesario	necessary	haré lo que sea necesario|I will do whatever is necessary
camino	road, route, path	es un camino muy largo el que nos queda por recorrer|we have a long road ahead of us
dinero	money	Hay mucho dinero. ¿Eres muy rico?|That is a lot of money. Are you rich?
pie	foot, base	está enfermo y tiene un pie en el cementerio|he is sick and has one foot in the grave
